#{"t_start": 1601012624.1188917, "env_id": "sdnsampling-v2"}
r,l,t
0.118165,1,6.538801
0.157666,1,6.547434
0.182896,1,6.554158
0.233761,1,6.557811
0.205484,1,6.561604
-0.159698,1,6.564957
0.042956,1,6.56876
0.455358,1,6.574464
0.421707,1,6.583223
0.193941,1,6.58688
0.249446,1,6.594586
0.255172,1,6.599783
0.036287,1,6.603348
-0.065924,1,6.607318
0.194791,1,6.611092
0.437634,1,6.615164
0.108099,1,6.619563
0.142825,1,6.626554
0.090476,1,6.63101
0.279846,1,6.634591
0.394745,1,6.637777
0.194951,1,6.643257
0.22247,1,6.646559
0.188074,1,6.64965
0.302079,1,6.653159
0.333591,1,6.656466
0.149881,1,6.659442
0.271059,1,6.662236
0.11324,1,6.665554
0.265982,1,6.672467
-0.134562,1,6.676523
0.341108,1,6.682681
0.311535,1,6.702051
0.296779,1,6.712619
0.264342,1,6.72272
0.199969,1,6.732271
0.045625,1,6.736919
0.271541,1,6.740927
0.059588,1,6.745308
0.198894,1,6.755836
0.416642,1,7.372867
0.505365,1,7.377167
0.050164,1,7.383359
0.078565,1,7.387999
-0.216231,1,7.39518
0.473828,1,7.402541
-0.023426,1,7.407549
0.176621,1,7.412144
-0.017913,1,7.417004
-0.159241,1,7.422298
-0.09211,1,7.427591
0.349699,1,7.433602
0.129009,1,7.445146
0.067582,1,7.453141
0.14529,1,7.460016
0.05363,1,7.465
0.231476,1,7.469587
0.127857,1,7.474607
-0.001705,1,7.479843
0.30555,1,7.485615
0.138164,1,7.49107
0.174455,1,7.497959
-0.138118,1,7.50872
0.045824,1,7.520182
0.295581,1,7.527235
0.238695,1,7.536144
-0.029449,1,7.541556
0.302847,1,7.546802
0.17643,1,7.553639
0.01369,1,7.560936
-0.123892,1,7.572197
0.169425,1,7.581975
0.16511,1,7.587605
0.23098,1,7.594137
0.205292,1,7.599064
0.454832,1,7.60973
0.196353,1,7.615777
0.207511,1,7.621631
-0.079123,1,7.625887
0.112014,1,7.631711
0.31887,1,7.63797
0.333743,1,7.643108
0.169795,1,7.652733
0.296331,1,7.666944
0.343651,1,7.676569
0.192789,1,7.681624
0.329072,1,7.691776
-0.15247,1,7.699216
0.164368,1,7.705451
0.471664,1,7.710389
0.022744,1,7.717587
0.193363,1,7.728613
0.145724,1,7.735074
0.154847,1,7.742756
0.28798,1,7.751498
-0.043167,1,7.759897
0.167994,1,7.772233
0.112838,1,7.778231
-0.024106,1,7.786464
-0.012864,1,7.79277
0.398356,1,7.807078
0.346398,1,7.812226
0.288316,1,7.816753
-0.244173,1,7.822924
0.207476,1,7.828305
0.339366,1,7.833072
0.136025,1,7.840615
0.349743,1,7.846478
-0.054328,1,7.854893
0.33543,1,7.865379
0.260712,1,7.87236
0.543901,1,7.882104
0.125073,1,7.887019
0.072306,1,7.893606
0.324143,1,7.900695
0.006724,1,7.905007
0.31456,1,7.913336
0.334795,1,7.919515
0.165136,1,7.924114
0.181729,1,7.933047
0.15447,1,7.948131
0.310766,1,7.954175
-0.102217,1,7.960444
0.303443,1,7.967349
-0.201879,1,7.978723
0.210273,1,7.986074
0.47408,1,7.998067
0.054084,1,8.008135
0.283786,1,8.01887
0.345907,1,8.025932
-0.036246,1,8.033377
0.134346,1,8.053291
-0.025484,1,8.064428
0.206733,1,8.072215
-0.057058,1,8.077212
0.013634,1,8.082089
0.063578,1,8.088018
0.515448,1,8.098027
0.191668,1,8.10262
0.414768,1,8.111295
0.16426,1,8.693717
0.087087,1,8.700805
0.286694,1,8.712187
0.208951,1,8.723615
0.187104,1,8.731827
0.501527,1,8.739083
0.053501,1,8.747684
-0.133213,1,8.754924
0.342886,1,8.759327
0.142765,1,8.766961
0.067031,1,8.779873
0.191426,1,8.788535
0.231648,1,8.799561
0.413013,1,8.81285
0.071909,1,8.824394
0.307635,1,8.83348
0.211294,1,8.839032
0.045561,1,8.843188
0.03843,1,8.84945
0.084795,1,8.855269
0.239397,1,8.86396
0.140758,1,8.870541
0.082399,1,8.875655
0.35801,1,8.887131
0.173319,1,8.891718
0.27443,1,8.895988
0.431971,1,8.902234
0.253765,1,8.909364
0.388542,1,8.915209
0.350278,1,8.926635
0.289352,1,8.934821
0.24026,1,8.94034
0.186916,1,8.949098
0.409087,1,8.954401
0.210071,1,8.959857
0.558331,1,8.972028
0.515776,1,8.978608
0.301861,1,8.982932
0.400407,1,8.989196
0.148731,1,8.993925
0.15497,1,8.999661
0.130227,1,9.0065
-0.091792,1,9.017735
0.252937,1,9.03035
0.0798,1,9.036431
0.420805,1,9.044154
0.250395,1,9.053183
0.281722,1,9.059841
0.284273,1,9.065697
0.310903,1,9.073964
-0.010533,1,9.081773
-0.121012,1,9.091714
-0.025063,1,9.097497
0.27469,1,9.110127
0.313847,1,9.116529
0.118506,1,9.127376
0.240547,1,9.137979
0.331193,1,9.144997
0.370557,1,9.158401
0.401384,1,9.166841
0.220258,1,9.175241
0.23095,1,9.183009
0.222529,1,9.191652
0.144681,1,9.199251
0.171573,1,9.206991
0.377792,1,9.216117
0.210436,1,9.225424
0.293386,1,9.232515
0.265313,1,9.241663
0.291841,1,9.24599
0.17947,1,9.24989
0.337554,1,9.258995
0.237171,1,9.264373
0.240062,1,9.267159
0.307346,1,9.270783
0.094882,1,9.274312
0.051199,1,9.277714
0.253081,1,9.283195
0.053804,1,9.286619
0.3843,1,9.290051
0.234037,1,9.302339
0.38852,1,9.317176
0.24247,1,9.322351
-0.097469,1,9.327668
0.231866,1,9.334418
0.030858,1,9.339851
0.450099,1,9.350853
0.130248,1,9.355966
-0.000637,1,9.35996
0.291968,1,9.371541
-0.155735,1,9.379401
0.229268,1,9.385162
0.384567,1,9.389242
0.263531,1,9.393332
0.068139,1,9.397646
0.229649,1,9.402333
0.221844,1,9.410018
-0.021745,1,9.415362
0.160879,1,9.420499
-0.085286,1,9.428814
0.358771,1,10.045028
-0.275285,1,10.054812
0.327316,1,10.060809
0.468205,1,10.070484
-0.065903,1,10.081779
0.125555,1,10.089004
0.305003,1,10.094544
0.365563,1,10.102119
0.102795,1,10.107728
0.13255,1,10.113456
0.174917,1,10.12065
0.267082,1,10.133136
0.216464,1,10.141352
0.259574,1,10.160526
0.527304,1,10.178757
0.147713,1,10.184691
0.505494,1,10.189477
0.220339,1,10.197606
0.124258,1,10.201816
0.266716,1,10.208714
0.075185,1,10.213994
0.115954,1,10.218956
0.138884,1,10.224129
0.254775,1,10.228838
0.123142,1,10.234713
0.206483,1,10.239713
0.124688,1,10.244469
-0.013936,1,10.249522
0.27099,1,10.258765
-0.057111,1,10.266766
0.139648,1,10.273186
0.126065,1,10.278285
0.354384,1,10.285162
0.2418,1,10.296107
0.122771,1,10.306306
0.099475,1,10.311208
0.161701,1,10.317243
0.304771,1,10.323675
-0.014784,1,10.329081
0.17368,1,10.336584
0.284029,1,10.348228
0.085187,1,10.355638
0.11354,1,10.370679
0.26333,1,10.377577
0.147083,1,10.383416
0.278812,1,10.388705
0.155174,1,10.396313
0.083601,1,10.403559
0.22989,1,10.412153
-0.034931,1,10.425952
0.16112,1,10.449337
0.367089,1,10.459057
0.24876,1,10.463274
0.356648,1,10.467596
0.438019,1,10.471911
0.08124,1,10.477909
0.270332,1,10.489038
0.134158,1,10.494677
0.09647,1,10.505028
0.115487,1,10.51066
0.210862,1,10.517288
0.034778,1,10.521494
0.123121,1,10.528935
0.329721,1,10.533591
-0.062097,1,10.540029
-0.024593,1,10.545475
0.178214,1,10.553502
0.475073,1,10.563803
0.080045,1,10.577428
0.357238,1,10.584902
-0.06414,1,10.590961
0.137487,1,10.598304
0.167159,1,10.605774
0.197113,1,10.614396
0.209946,1,10.624488
0.268753,1,10.633178
0.048425,1,10.641482
0.092297,1,10.646653
-0.049608,1,10.6527
0.056575,1,10.656644
0.324971,1,10.661353
-0.000758,1,10.666794
0.038865,1,10.673461
0.206347,1,10.684354
0.167849,1,10.68962
0.297871,1,10.695157
0.279252,1,10.705509
0.178783,1,10.715218
0.125035,1,10.720105
0.435574,1,10.726366
0.095268,1,10.732872
0.111576,1,10.737098
0.310708,1,10.747465
0.161455,1,10.754614
-0.275987,1,10.763321
0.195813,1,10.768144
0.268694,1,10.772523
0.166296,1,10.778589
0.111626,1,10.787828
0.277099,1,10.795123
0.122296,1,11.457492
0.28234,1,11.464787
0.244672,1,11.470712
-0.036803,1,11.476864
0.102233,1,11.485659
0.200468,1,11.50548
0.320114,1,11.509707
0.105936,1,11.515932
-0.221684,1,11.520113
0.355667,1,11.528415
0.225772,1,11.531778
0.06614,1,11.535657
0.357174,1,11.544513
0.230534,1,11.548282
0.480189,1,11.554854
0.389813,1,11.560586
0.11251,1,11.563885
0.086424,1,11.56724
0.290902,1,11.572687
