#{"t_start": 1617895544.1983058, "env_id": "sdnsampling-MTD-exp-v0"}
r,l,t
118,1,3332.732366
0,1,3342.330247
0,1,3351.929079
121,1,3362.152181
111,1,3372.297154
121,1,3382.663723
0,1,3392.205397
108,1,3402.581828
105,1,3412.774028
122,1,3423.122031
123,1,3433.511508
110,1,3443.830987
0,1,3453.463151
0,1,3462.998464
0,1,3472.54381
0,1,3482.228416
114,1,3492.567435
119,1,3502.835896
0,1,3512.564903
0,1,3522.165996
123,1,3532.41902
121,1,3542.694042
109,1,3553.087782
123,1,3563.363906
0,1,3572.86775
123,1,3583.161076
110,1,3593.297089
0,1,3602.81369
0,1,3612.488195
111,1,3622.535925
116,1,3632.732623
114,1,3642.860385
0,1,3652.384065
0,1,3662.023471
0,1,3671.720295
0,1,3681.424032
109,1,3691.744141
0,1,3701.541969
0,1,3711.152834
122,1,3721.663294
0,1,3731.439944
115,1,3742.151797
0,1,3751.961104
108,1,3762.572889
0,1,3772.267402
0,1,3781.928097
0,1,3791.60797
0,1,3801.215813
0,1,3810.876044
114,1,3821.152073
125,1,3831.644274
111,1,3842.075758
0,1,3851.695679
0,1,3861.266309
0,1,3870.908501
0,1,3880.448873
0,1,3889.980143
0,1,3899.405636
0,1,3908.896285
0,1,3918.402938
0,1,3927.899556
121,1,3938.2158
0,1,3947.692282
0,1,3957.340491
0,1,3966.900339
109,1,3977.319865
109,1,3987.666795
124,1,3997.898517
126,1,4008.253304
112,1,4018.597689
127,1,4029.02822
109,1,4039.240804
0,1,4048.787465
0,1,4058.404331
115,1,4068.591481
107,1,4079.331841
0,1,4089.027456
109,1,4099.313663
0,1,4108.940222
0,1,4118.519959
121,1,4128.825527
0,1,4138.463326
0,1,4148.126995
0,1,4157.763905
121,1,4168.272378
105,1,4178.542188
0,1,4188.229403
0,1,4197.976619
122,1,4208.403348
115,1,4218.918686
114,1,4229.475412
111,1,4240.051392
0,1,4249.863442
105,1,4260.471756
0,1,4270.297554
0,1,4280.167657
0,1,4289.932002
110,1,4300.411868
117,1,4310.845082
0,1,4320.654146
121,1,4331.180727
0,1,4340.97206
0,1,4350.747167
112,1,4361.352536
0,1,4371.039093
0,1,4380.764093
109,1,4391.143934
113,1,4401.352324
0,1,4410.993042
0,1,4420.528497
126,1,4430.951999
108,1,4441.211835
0,1,4450.771974
102,1,4460.821165
127,1,4471.236717
114,1,4481.46323
117,1,4491.598516
0,1,4501.131019
104,1,4511.479654
114,1,4521.825351
120,1,4532.23511
113,1,4542.513322
0,1,4552.043783
0,1,4561.615846
108,1,4571.972498
0,1,4581.448944
0,1,4591.092532
105,1,4601.404241
118,1,4611.727861
0,1,4621.599551
0,1,4631.383317
114,1,4641.869424
0,1,4651.628278
0,1,4661.475459
114,1,4671.953666
0,1,4681.718231
122,1,4692.13014
103,1,4702.707533
0,1,4712.505678
112,1,4722.88056
115,1,4733.327534
121,1,4743.761763
121,1,4754.255666
0,1,4763.868414
0,1,4773.516151
111,1,4783.86738
112,1,4794.152793
81,1,4804.177181
0,1,4813.187716
84,1,4833.135642
0,1,4842.171866
83,1,4862.068314
86,1,4881.946755
87,1,4901.923302
81,1,4921.967685
0,1,4931.496157
0,1,4941.072292
0,1,4950.683493
113,1,4960.885253
116,1,4971.038296
0,1,4980.636445
123,1,4990.976907
0,1,5000.591336
0,1,5010.111654
0,1,5019.71969
114,1,5030.256514
0,1,5039.790775
122,1,5050.131279
113,1,5060.519372
0,1,5070.260314
0,1,5079.823426
103,1,5089.842892
109,1,5100.171669
116,1,5110.471677
0,1,5120.125207
114,1,5130.888053
116,1,5141.387889
