#{"t_start": 1613974487.2586246, "env_id": "sdnsampling-v1"}
r,l,t
0.471033,1,221.821304
0.555667,1,222.573367
0.479011,1,223.351589
0.552093,1,224.162563
0.339038,1,224.958335
-0.069995,1,225.73561
0.684471,1,226.518713
-0.080622,1,227.276254
0.61607,1,228.042165
0.792265,1,228.826303
-0.0241,1,229.591882
0.681303,1,230.352012
0.26713,1,231.114648
0.607202,1,231.875241
0.018851,1,233.210791
0.491808,1,233.975165
0.167232,1,234.742338
0.695693,1,236.226485
0.165019,1,236.99017
0.598614,1,237.749998
0.589067,1,239.17417
0.20922,1,239.933209
-0.154525,1,240.722746
0.468204,1,242.153402
0.477806,1,242.917837
0.671833,1,243.68406
0.612639,1,244.460131
-0.049743,1,245.225474
0.699805,1,245.981554
0.65391,1,247.430952
-0.055127,1,248.203692
0.545538,1,248.955104
0.673965,1,249.70783
0.295416,1,250.461686
0.526152,1,251.900613
0.327201,1,252.66444
0.556565,1,253.433575
0.661925,1,254.195188
0.316379,1,254.958349
-0.015276,1,255.717155
0.386555,1,256.488346
-0.204812,1,257.941105
0.450204,1,258.696395
0.3505,1,259.467642
0.168843,1,260.223171
0.365649,1,260.976202
-0.750607,1,261.734234
0.014295,1,262.508165
0.449059,1,263.266802
0.072682,1,264.028502
0.226145,1,264.793971
-0.041266,1,265.551887
0.318631,1,266.30832
0.420806,1,267.063837
0.237744,1,267.815528
0.688493,1,268.581941
0.720367,1,269.341959
0.215246,1,270.093688
0.10457,1,270.848406
0.543472,1,271.618703
0.642167,1,272.385598
0.066065,1,273.156081
0.601176,1,274.651841
0.451535,1,275.406439
0.556826,1,276.171198
0.575059,1,277.50076
0.686471,1,278.264697
0.203464,1,279.031961
0.220004,1,279.79357
0.089623,1,280.555381
0.466248,1,281.314263
0.265694,1,282.079922
0.513277,1,282.839253
-0.054631,1,284.275194
0.222548,1,285.043078
0.651793,1,285.80441
0.169037,1,286.575631
0.629104,1,287.337783
0.598612,1,288.770967
0.26628,1,290.20641
0.69317,1,290.972758
0.25639,1,291.729741
0.599979,1,292.492125
0.311396,1,293.249762
0.551832,1,294.014615
0.067143,1,294.778564
0.475515,1,295.547767
0.707643,1,296.315595
0.623817,1,297.078836
-0.106245,1,298.549763
0.51272,1,299.985142
-0.094972,1,300.757034
0.50469,1,302.222854
0.451249,1,302.991441
0.488076,1,303.727787
0.676263,1,304.497649
-0.328332,1,305.2753
0.598863,1,306.598228
0.555047,1,307.354977
0.155891,1,308.123139
0.32077,1,308.897582
0.665403,1,309.665571
0.457138,1,310.424825
0.651794,1,311.192244
0.175534,1,311.956221
0.645241,1,312.719347
0.017878,1,313.477078
0.311375,1,314.895286
-0.295357,1,315.643919
0.210463,1,316.400405
0.670852,1,317.170134
0.554102,1,317.9334
0.455198,1,319.361297
0.553725,1,320.801033
0.684579,1,322.217958
0.381497,1,322.98723
0.287319,1,323.742531
0.620616,1,324.514947
0.724085,1,325.286657
0.707496,1,326.718499
0.031189,1,327.470357
-0.118918,1,328.226021
0.597411,1,328.979684
0.290037,1,329.743349
0.542381,1,330.502843
0.740436,1,331.256144
0.372933,1,332.01575
0.28819,1,332.772722
0.201842,1,333.539019
0.443781,1,334.303806
0.362055,1,335.063976
0.181242,1,335.829012
0.604073,1,336.597151
0.588434,1,337.36201
0.703095,1,338.131812
0.229634,1,338.895719
0.573542,1,339.658998
0.302711,1,340.429023
0.458838,1,341.19881
-0.048948,1,341.954825
0.661853,1,342.713794
0.590058,1,344.108589
0.230502,1,344.866346
0.775109,1,345.627518
0.412238,1,346.390092
-0.001005,1,347.152541
-0.242373,1,347.912502
0.004623,1,348.672788
0.543277,1,349.433204
0.523873,1,350.194336
