#{"t_start": 1617278462.955016, "env_id": "sdnsampling-exp-v0"}
r,l,t
-0.260124,1,19.004891
-0.365868,1,51.617233
-0.281257,1,65.900282
-0.354372,1,91.028461
-0.342916,1,102.817106
-0.356952,1,128.364619
-0.37918,1,143.856471
