#{"t_start": 1606712666.348748, "env_id": "sdnsampling-v0"}
r,l,t
0.534231,1,3.433471
0.35591,1,3.494243
-0.089551,1,3.55394
0.333852,1,3.613281
0.295284,1,3.708608
0.19467,1,3.76896
0.18178,1,3.828877
-0.16588,1,3.888742
0.251096,1,3.948481
0.134414,1,4.008285
0.082481,1,4.07037
0.415499,1,4.129963
0.655692,1,4.189568
0.073247,1,4.249154
0.470572,1,4.308921
-0.105371,1,4.368761
0.540426,1,4.428389
0.366693,1,4.487936
-0.006511,1,4.547466
-0.195641,1,4.643116
0.664298,1,4.702723
0.63849,1,4.762796
0.456144,1,4.827074
0.427145,1,4.924089
0.327746,1,4.988241
0.345666,1,5.052002
0.556723,1,5.115409
0.463446,1,5.211191
0.481359,1,5.273493
0.154552,1,5.333522
0.351108,1,5.39847
0.394577,1,5.48396
0.283017,1,5.564379
0.359363,1,5.632087
0.224633,1,5.691986
-0.115602,1,5.754468
0.524375,1,5.816876
0.359441,1,5.878778
0.141208,1,5.952131
0.35224,1,6.019276
0.332337,1,6.079882
-0.30066,1,6.139942
0.328984,1,6.199928
0.374672,1,6.259899
-0.139681,1,6.319893
0.409926,1,6.38008
-0.382932,1,6.455926
0.330788,1,6.511787
0.261958,1,6.573267
0.374299,1,6.636683
0.540328,1,6.696956
-0.107664,1,6.756826
0.632108,1,6.81662
0.432776,1,6.876606
0.50307,1,6.934966
0.143186,1,6.989851
0.51418,1,7.049493
0.615764,1,7.110256
0.158508,1,7.170663
0.502819,1,7.269005
0.407443,1,7.330073
0.304155,1,7.389753
0.415249,1,7.500027
0.556997,1,7.559247
0.45914,1,7.618346
0.113474,1,7.678332
0.593828,1,7.738975
0.299403,1,7.819872
0.523978,1,7.89783
0.222203,1,7.961166
-0.035231,1,8.056688
0.48809,1,8.116783
0.39015,1,8.179731
0.605236,1,8.239851
0.53164,1,8.300191
0.536302,1,8.360963
0.177482,1,8.421116
0.03029,1,8.481343
0.485537,1,8.540817
0.132994,1,8.597279
0.267712,1,8.651876
-0.043927,1,8.748555
0.648065,1,8.808063
0.561271,1,8.90281
0.168296,1,8.962763
0.0112,1,9.022603
-0.190238,1,9.082771
0.105855,1,9.146776
0.64106,1,9.209289
0.618059,1,9.30408
0.434022,1,9.363991
-0.001541,1,9.423816
0.527081,1,9.483752
0.379636,1,9.544425
0.304026,1,9.605205
0.624775,1,9.664881
0.594416,1,9.771897
0.090308,1,9.821267
0.546436,1,9.880944
0.241661,1,9.94075
0.438084,1,10.000857
0.614332,1,10.061082
0.504699,1,10.120917
0.391135,1,10.216565
0.383352,1,10.276567
-0.039004,1,10.336395
0.462675,1,10.396442
0.368136,1,10.471955
0.522886,1,10.532063
0.103121,1,10.592342
-0.032125,1,10.660506
0.379502,1,10.720347
0.002852,1,10.780109
-0.046566,1,10.840158
0.580772,1,10.899995
0.501418,1,10.959794
0.399857,1,11.020007
-0.310877,1,11.079835
0.639641,1,11.141611
0.446765,1,11.232336
0.175555,1,11.29167
0.62052,1,11.360001
0.433623,1,11.419804
0.244926,1,11.47933
0.595374,1,11.539149
0.065715,1,11.598892
0.581856,1,11.710125
0.467079,1,11.757362
0.088607,1,11.817265
-0.23052,1,11.877107
0.451519,1,11.936788
-0.148637,1,11.996841
0.486222,1,12.05718
0.478833,1,12.117083
0.560345,1,12.176755
0.194325,1,12.236433
0.59435,1,12.296152
0.598827,1,12.355935
0.278438,1,12.450904
0.363827,1,12.511021
0.533347,1,12.571218
0.411127,1,12.631367
0.112409,1,12.691328
0.035089,1,12.751222
0.202866,1,12.811543
0.456283,1,12.90689
0.475124,1,13.001702
0.248446,1,13.060911
0.370602,1,13.116997
0.313217,1,13.171702
0.545223,1,13.265058
0.319644,1,13.324986
0.631874,1,13.384874
-0.230658,1,13.444786
0.430929,1,13.504719
0.384948,1,13.564708
-0.066411,1,13.660033
0.331352,1,13.71993
0.570049,1,13.779825
0.58824,1,13.839588
0.269627,1,13.899737
0.635939,1,13.959653
0.43718,1,14.035906
0.549746,1,14.095762
0.215103,1,14.15581
0.237302,1,14.215908
0.510715,1,14.275886
