#{"t_start": 1617864486.366404, "env_id": "sdnsampling-MTD-as-v0"}
r,l,t
219.666667,1,147.69306
231.116667,1,148.865871
227.833333,1,149.316811
231.116667,1,149.773926
231.116667,1,150.224002
231.116667,1,150.673808
228.552862,1,151.123137
231.116667,1,151.575345
161.204754,1,152.023319
231.116667,1,152.471118
231.116667,1,152.921017
231.116667,1,153.367382
231.116667,1,153.815914
216.116667,1,154.983785
216.116667,1,155.434171
226.066667,1,156.634971
226.066667,1,157.08828
226.066667,1,157.533923
226.066667,1,157.984829
226.066667,1,158.432391
221.724943,1,158.881744
226.066667,1,159.328795
226.066667,1,159.774153
226.066667,1,160.225897
226.066667,1,160.673712
228.133333,1,161.733192
228.133333,1,162.180403
224.926723,1,162.627231
230.266667,1,164.432488
225.040983,1,164.885534
230.266667,1,165.329695
230.266667,1,165.7769
230.266667,1,166.221941
230.266667,1,166.670635
230.266667,1,167.121671
230.266667,1,167.568909
228.622616,1,168.015427
230.266667,1,168.467347
228.802713,1,168.914282
230.266667,1,169.360016
230.266667,1,169.807274
230.266667,1,170.259789
230.266667,1,170.710605
230.266667,1,171.159363
226.0,1,172.333393
226.0,1,172.780942
113.436984,1,173.229389
226.0,1,173.688701
226.0,1,174.141391
226.0,1,174.596175
226.0,1,175.051363
226.0,1,175.49661
221.95,1,176.695582
221.95,1,177.143842
239.383333,1,178.315524
239.383333,1,178.765685
239.383333,1,179.21407
238.291438,1,179.666642
239.383333,1,180.117066
239.183333,1,181.291435
239.183333,1,181.738883
239.183333,1,182.188108
239.183333,1,182.640761
238.660887,1,183.092121
230.7,1,184.280633
230.7,1,184.732877
230.7,1,185.187779
230.7,1,185.639423
230.7,1,186.085488
230.7,1,186.540603
233.616667,1,187.595884
233.616667,1,188.039934
233.616667,1,188.487382
233.616667,1,188.934481
131.888699,1,190.103142
220.966667,1,190.553211
220.966667,1,190.999757
220.966667,1,191.447096
219.490748,1,191.896427
220.966667,1,192.343612
220.966667,1,192.790489
220.966667,1,193.245795
220.966667,1,193.696267
219.787228,1,194.149683
220.966667,1,194.598374
220.966667,1,195.043273
220.966667,1,195.491783
220.966667,1,195.94027
220.966667,1,196.388321
251.95,1,197.548025
251.95,1,197.993517
241.85,1,198.441785
251.95,1,198.892098
251.95,1,199.341741
251.95,1,199.790518
251.95,1,200.240246
251.95,1,200.688676
223.783333,1,201.868478
16.9,1,202.320626
223.783333,1,202.77565
223.783333,1,203.224361
223.783333,1,203.679489
223.783333,1,204.128094
223.783333,1,204.576668
223.783333,1,205.026911
223.783333,1,205.476354
223.783333,1,205.929791
216.0,1,206.382552
223.783333,1,206.835818
223.783333,1,207.286067
223.783333,1,207.733387
223.783333,1,208.186537
228.633333,1,209.353582
228.633333,1,209.801684
228.633333,1,210.249042
228.633333,1,210.700147
228.633333,1,211.155855
232.816667,1,212.335495
188.920209,1,212.781738
10.633333,1,213.234055
232.816667,1,213.687191
232.816667,1,214.137284
232.816667,1,214.585522
232.816667,1,215.033229
232.011569,1,215.480058
